number,movies,cast,directors
371,Leave No Trace,Richie Havens,Kelly Reichardt
372,Three Colors: White,Sha-Na-Na,George A. Romero
373,Chicken Run,Ten Years After,Michel Hazanavicius
374,The King's Speech,The Who,Michael Curtiz
375,Hell or High Water,Barbara Stanwyck,Martin Scorsese
376,Up,Byron Barr,Michel Gondry
377,Shirkers,Edward G. Robinson,Jane Campion
378,Mildred Pierce,Fortunio Bonanova,Lewis Milestone
379,45365,Fred MacMurray,Bing Wang
380,Tootsie,Jean Heather,Lucrecia Martel
381,Marooned in Iraq,John Philliber,Kirsten Johnson
382,To Kill a Mockingbird,Porter Hall,Fred Zinnemann
383,Aquarius,Richard Gaines,Nicholas Ray
384,"So Long, My Son",Tom Powers,Clint Eastwood
385,Apollo 11,Anthony Mackie,Michael Haneke
386,Anomalisa,Brian Geraghty,John Cassavetes
387,Toy Story 2,Jeremy Renner,Damien Chazelle
388,Black Panther,Arthur O'Connell,John Carney
389,Brooklyn,Ben Gazzara,Alfred Hitchcock
390,Nobody Knows,Eve Arden,Clio Barnard
391,Life Is Sweet,George C. Scott,Gan Bi
392,Faces,James Stewart,Laurence Olivier
393,Mary Poppins,Kathryn Grant,Camilla Nielsson
394,The Lord of the Rings: The Two Towers,Lee Remick,Rob Minkoff
395,L'Enfant (The Child),Murray Hamilton,Roger Allers
396,Sweet Country,Orson Bean,Spike Lee
397,Jane Fonda in Five Acts,Russ Brown,Ingmar Bergman
398,Newtown,Chris Pratt,Terry Zwigoff
399,Poetry,Édgar Ramírez,Stephen T. Maing
400,Restless Creature: Wendy Whelan,Jason Clarke,Ingmar Bergman
401,Birdman or (The Unexpected Virtue of Ignorance),Jennifer Ehle,Alfonso Cuarón
402,Little Women,Jessica Chastain,Paul King
403,Shakespeare in Love,Joel Edgerton,John Musker
404,The Awful Truth,Mark Strong,Ron Clements
405,Can You Ever Forgive Me?,Leila Hatami,Frederick Wiseman
406,Wolfwalkers,Peyman Moaadi,Bennett Miller
407,It Happened One Night,Sareh Bayat,Armando Iannucci
408,The Body Remembers When the World Broke Open,Ben Burtt,George Seaton
409,The Missing Picture,Elissa Knight,Alfred Hitchcock
410,"I Travel Because I Have to, I Come Back Because I Love You",Jeff Garlin,Sergei Dvortsevoy
411,The Invisible Man,Cate Blanchett,Mohammad Rasoulof
412,Scarface,Cory Michael Smith,Albert Maysles
413,Of Men and War,Jake Lacy,Benjamin Wu
414,The Long Goodbye,John Magaro,David Usui
415,Imitation of Life,Kyle Chandler,Lynn True
416,Pain and Glory,Rooney Mara,Nelson Walker III
417,Genèse (Genesis),Sarah Paulson,Martin McDonagh
418,The Farthest,Ariane Labed,Jonathan Olshefski
419,The Killing of Two Lovers,Athina Rachel Tsangari,Louis Malle
420,Gomorrah,Ethan Hawke,Yael Hersonski
421,To Be and to Have,Julie Delpy,Mia Hansen-Løve
422,Halloween,Seamus Davey-Fitzpatrick,Wes Anderson
423,Eraserhead,Walter Lassally,Nuri Bilge Ceylan
424,Medium Cool,Xenia Kalogeropoulou,Bradley Cooper
425,Fire at Sea,Emmanuelle Riva,Laura Poitras
426,The Fugitive,Isabelle Huppert,Laurent Cantet
427,F for Fake,Jean-Louis Trintignant,Josef von Sternberg
428,About Elly (2009),Aneurin Barnard,Ridley Scott
429,The Bridge on the River Kwai,Barry Keoghan,Sarah Polley
430,Goldfinger,Damien Bonnard,Pedro Almodóvar
431,Ma Rainey's Black Bottom,Fionn Whitehead,Carol Reed
432,One False Move,Harry Styles,John Huston
433,En el Séptimo Día (On the Seventh Day),Jack Lowden,Samuel Maoz
434,Jane,James Bloor,James Ivory
